claim_id,area,outlet,event_type,status,location_precision,location_conflict,claim,quote,url,human_verdict
144ee69abbba3c3a,Mission,sfyimby.com,announced_development,claimed,point,,Preliminary plans have been published for a small residential infill at 3832 18th Street in the Mission Dolores neighborhood.,Preliminary plans have been published for a small residential infill at 3832 18th Street in San Francisco's Mission Dolores neighborhood.,https://sfyimby.com/2026/06/preliminary-plans-for-3832-18th-street-in-mission-dolores-san-francisco.html,
a063267c12800ed5,Mission,sfyimby.com,announced_development,claimed,point,,"Two of the 20 units will be deed-restricted for low-income households, with 10 studios, five two-bedrooms, and five larger residences with three or more bedrooms.","Of the 20 units, two will be deed-restricted for low-income households. Unit types will vary with 10 studios, five two-bedrooms, and five larger residences with three or more bedrooms.",https://sfyimby.com/2026/06/reduced-plans-filed-for-3230-24th-street-mission-district-san-francisco.html,
9c274351b7a20456,Mission,sfyimby.com,announced_development,claimed,point,,"The project will include 21,970 square feet of housing and 1,200 square feet of commercial space.","The roughly 65-foot-tall structure is expected to provide 21,970 square feet of housing and 1,200 square feet of commercial space.",https://sfyimby.com/2026/06/reduced-plans-filed-for-3230-24th-street-mission-district-san-francisco.html,
fccc7b846fd55b3d,Mission,sfyimby.com,announced_development,claimed,point,,"Reduced plans have been filed for a residential infill project at 3230 24th Street in the Mission District, now expected to add 20 units across six floors.","Reduced plans have been filed for the residential infill at 3230 24th Street in San Francisco's Mission District. The flat-iron-style complex, dubbed Trigona, is now expected to add 20 units across six floors, lobbing off two floors and nearly halving the residential capacity to the triangular parcel.",https://sfyimby.com/2026/06/reduced-plans-filed-for-3230-24th-street-mission-district-san-francisco.html,
a09619026dfb796b,Japantown,missionlocal.org,observational,claimed,neighborhood,,"Police drones flew through the Japantown neighborhood at least 23 times between 2025 and 2026, with recorded reasons mostly pertaining to unspecified criminal investigations.","Police drones have flown through the Japantown neighborhood at least 23 times between this and last year, according to the flight logs. Recorded reasons for the flybys mostly pertain to unspecified criminal investigations.",https://missionlocal.org/2026/07/san-francisco-police-surveillance-center-drones-salesforce/,
5f608fd20135f637,Mission,missionlocal.org,observational,refuted,block,,Police conducted four enforcement operations on the 700 block of Mission Street between May and June involving drone operators working with retail stores to arrest 29 suspects.,"They've touted myriad drone-related arrests between May and June, including four enforcement operations on the 700 block of Mission Street where drone operators worked with retail stores to arrest 29 suspects.",https://missionlocal.org/2026/07/san-francisco-police-surveillance-center-drones-salesforce/,
814903d3ce662c3c,Mission,missionlocal.org,observational,claimed,neighborhood,,"Police drones flew 942 times in the Mission neighborhood between 2024 and May 31, 2026.","SFPD flight logs show drone activity from 2024 to 2026 has concentrated heaviest in three neighborhoods: SoMa at 1,056 flights, the Mission at 942, and the Tenderloin at 698, as of May 31.",https://missionlocal.org/2026/07/san-francisco-police-surveillance-center-drones-salesforce/,
7648f7b26027853d,Japantown,hoodline.com,announced_policy,claimed,neighborhood,,Chan plans to formally introduce both measures to the Board of Supervisors in September.,"Chan plans to formally introduce both measures to the Board of Supervisors in September, KQED reports",https://hoodline.com/2026/07/connie-chan-mounts-japantown-power-play-to-shield-sf-s-mom-and-pop-shops/,
c529da4a48d5da03,Japantown,hoodline.com,announced_policy,claimed,neighborhood,,Supervisor Connie Chan announced a Workers' Opportunity to Purchase Act that gives employees advance notice and first rights to buy a business when an owner decides to sell.,would create a new Workers' Opportunity to Purchase Act that gives employees advance notice and first rights to buy a business when an owner decides to sell,https://hoodline.com/2026/07/connie-chan-mounts-japantown-power-play-to-shield-sf-s-mom-and-pop-shops/,
054f8d90872f85f8,Japantown,hoodline.com,announced_policy,claimed,neighborhood,,Supervisor Connie Chan announced a proposal for commercial tenant unions allowing small businesses to band together to negotiate leases.,Supervisor Connie Chan rolled out a two-part proposal in Japantown last Friday that takes direct aim at one of San Francisco's most stubborn problems: longtime mom-and-pop shops getting priced out of their own neighborhoods. Her plan would let small businesses band together into commercial tenant unions to negotiate leases,https://hoodline.com/2026/07/connie-chan-mounts-japantown-power-play-to-shield-sf-s-mom-and-pop-shops/,
